Start,End,midLat,midLong
Long Drag Pool,South Gare,54.626,-1.163
Longham Lakes,Christchurch,50.757,-1.841
Loop Head,The Fodry,52.569,-9.91
Portobello,Aberlady Bay,55.985,-2.981
Lough Beg (Derry),Mullagh,54.818,-6.569
Lough Fee,Kylemore Abbey,53.573,-9.857
Low Newton,Cresswell Pond,55.379,-1.588
Lower Moors,Great Pool,49.934,-6.317
Lower Moors,Old Town,49.915,-6.301
Lower Moors,Porth Hellick,49.917,-6.295
Lower Moors,Porthloo,49.92,-6.305
Lower Moors,Rosehill,49.917,-6.304
Lydd,Dungeness,50.933,0.953
Lymington,Hurst,50.733,-1.546
Machir Bay,Loch Gorm,55.794,-6.438
Maldon,Heybridge,51.735,0.682
Marazion,Gunwalloe Marshes,50.09,-5.377
Marazion,Hayle,50.156,-5.451
Marazion,Newlyn,50.116,-5.514
Marazion,Perranuthnoe,50.119,-5.46
Marazion,St Erth,50.145,-5.454
Marshside,Banks Marsh,53.699,-2.95
Marshside,Cockerham Sands,53.825,-2.926
Martin Mere,Marshside,53.65,-2.926
Meikle Loch,Loch of Strathbeg,57.494,-1.916
Melby,Loch of Norby,60.304,-1.653
Mid Yell,Whalefirth,60.619,-1.124
Middlemarsh Farm,Gibraltar Point,53.125,0.311
Middleton Lakes,Kingsbury Water Park,52.581,-1.699
Mildenhall,Lakenheath,52.396,0.51
Minsmere,Dunwich,52.257,1.625
Minsmere,Sizewell,52.226,1.621
Monk's Wall,Sandwich Bay,51.274,1.363
Murcar,Blackdog,57.212,-2.066
Murvagh Beach,Inishfad Beach,54.596,-8.178
Musselburgh,Aberlady Bay,55.984,-2.94
Musselburgh,Fisherrow,55.949,-3.048
Musselburgh,Granton Harbour,55.97,-3.124
Myroe Levels,Magilligan Point,55.153,-6.974
Nanjizal,Sennen,50.063,-5.693
Narin Strand,Portnoo,54.842,-8.457
Nene Washes,Peterborough,52.578,-0.158
Nether,Upper Winchendon,51.813,-0.93
Nethertown,Carne Harbour,52.192,-6.353
Neumann's Flash,Marbury,53.14,-2.579
Neumann's Flash,Rostherne Mere,53.314,-2.444
New Brighton,Seaforth,53.452,-3.034
New Forest,Avon Valley,50.874,-1.717
Newbiggin,Lynemouth,55.2,-1.525
Newbiggin,Blyth,55.158,-1.509
Newford Duckpond,Lower Moors,49.923,-6.3
Nimmo's Pier,Newtownlynch Pier,53.218,-9.027
Nimmo's Pier,Rossaveal,53.267,-9.299
Holme,Morston,52.962,0.763
Normandy Marsh,Hurst,50.727,-1.54
Blyth,Castle Island,55.146,-1.532
North Bull Island,Coolock,53.379,-6.173
North Bull Island,Poolbeg,53.355,-6.168
North Cotes Point,Saltfleet,53.468,0.126
North Shields,South Shields,55.004,-1.438
North Slob,Castlebridge,52.376,-6.423
North Slob,South Slob,52.337,-6.418
North Slob,Tacumshin,52.285,-6.426
North Stoke,Burpham,50.88,-0.533
Noss (general),Ander Hill,60.15,-1.037
Oare Marshes,Swalecliffe,51.357,0.979
Oban,Loch Feochan,56.386,-5.475
Observatory (St Agnes),Post Office,49.892,-6.344
Old Grimsby,Middle Down,49.957,-6.332
Old Hall Marshes,Alresford Creek,51.805,0.92
Old Hall Marshes,Hamford Water,51.828,1.041
Old Moor,Swillington Ings,53.633,-1.386
Orphir,Stromness,58.945,-3.226
Otter Estuary,Budleigh Salterton,50.63,-3.314
Otterswick,Loch of East Yell,60.535,-1.041
Pagham Harbour,Chichester Gravel Pits,50.793,-0.761
Pagham Harbour,Church Norton,50.757,-0.766
Pagham Harbour,Littlehampton,50.783,-0.65
Papa Westray,Westray (general),59.326,-2.932
Parsonage,Covean,49.893,-6.342
Patrington,Sammy's Point,53.658,0.048
Paull,Saltend Marsh,53.725,-0.235
Paxton Pits,Grafham Water,52.278,-0.28
Pegwell Bay,Sandwich Bay,51.292,1.378
Pegwell Bay,South Foreland,51.231,1.368
Pegwell Bay,Stodmarsh,51.317,1.277
Pelistry,Kitty Down,49.924,-6.282
Penclacwydd,Machynys,51.663,-4.136
Peninerine,Gerinish,57.322,-7.387
Peninnis Head,Airport,49.91,-6.298
Peninnis Head,Carn Gwaval,49.91,-6.304
Peninnis Head,Giant's Castle,49.91,-6.295
Peninnis Head,Lower Moors,49.912,-6.304
Peninnis Head,Old Town,49.91,-6.302
Penzance,Marazion,50.122,-5.506
Penzance,Newlyn,50.113,-5.542
Peterhead,Ugie Estuary,57.512,-1.785
Pett Level,Icklesham,50.903,0.677
Pierowall,Taftend,59.291,-2.942
Pilling Lane Ends,Knott End-on-Sea,53.932,-2.975
Plym Estuary,Bere Ferrers,50.391,-4.166
Plym Estuary,St John's Lake,50.347,-4.188
